;contractingProcedureType;publicationDate;ccp;objectBriefDescription;initialContractualPrice;signingDate;id;contractFundamentationType;increments;closeDate;causesDeadlineChange;causesPriceChange;frameworkAgreementProcedureDescription;documents;invitees;observations;totalEffectivePrice;endOfContractType;contractingProcedureUrl;ambientCriteria;directAwardFundamentationType;announcementId;contestants;frameworkAgreementProcedureId;cpvsValue;cocontratantes;aquisitionStateMemberUE;executionDeadline;contractTypeCS;executionPlace;centralizedProcedure;cpvs;income;nonWrittenContractJustificationTypes;contractStatus;materialCriteria;contractTypes;cpvsType;cpvsDesignation;infoAquisitionStateMemberUE;groupMembers;normal;specialMeasures;regime;description;contractingNif;contractingDescription;contractingId;contractedNif;contractedDescription;contractedId;links_documentos
10;Contratação excluída II;04-03-2026;False;DL60/02/2026 - aquisição de bens de sistema de ventilação - Os bens a adquirir têm como finalidade garantir a operação segura de equipamentos durante a caracterização de amostras com estufa, mufla e cromatógrafo e a realização de ensaios de medição do potencial bioquímico de metano com CSTR (Continuous Stirred Tank Reactor). O sistema de ventilação irá permitir extrair os gases gerados na digestão anaeróbia, remover o calor e os vapores produzidos pela estufa e controlar a dispersão de fumos e altas temperaturas da mufla, bem como para garantir a evacuação de gases de arraste, solventes e possíveis fugas associadas ao cromatógrafo. Dessa forma, garante-se a operação segura dos equipamentos, prevenindo sobreaquecimentos e contaminações, protegendo os utilizadores e assegurando condições adequadas de segurança laboratorial.;17.600,00 €;28-01-2026;13821393;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[{'description': 'Mod.DL60.2018-Contrato_AqBensMóveis_Sistema_de_Ventilação_signed_signed_signed_Publicavel.pdf', 'id': 2466085}];[];;;;;False;Não aplicável;-1;[{'nif': '500189226', 'description': 'METEC, LDA.', 'id': 5158}];Não aplicável.;17600.0 € ;False;False;61 dias;False;Portugal, Porto, Matosinhos;False;38000000-5;True;;;False;Aquisição de bens móveis;Principal;Equipamento laboratorial, óptico e de precisão (exc. óculos);;;True;;Decreto-Lei n.º 60/2018, de 03.08;DL60/02/2026 - aquisição de bens de sistema de ventilação CSTR;515316881;Associação BIOREF - Laboratório Colaborativo para as Biorrefinarias;4829199;500189226;METEC, LDA.;5158;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466085&ext=.pdf
11;Consulta Prévia;04-03-2026;False;Aquisição de serviços em regime de avença para operacionalização do gabinete de eventos;19.920,00 €;04-03-2026;13821361;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos;False;;;;Não aplicável.;[{'description': 'Contrato 26013 Expurgado.pdf', 'id': 2466084}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1NjYwMA;False;Não aplicável;-1;[{'nif': '-', 'description': 'Manuel Francisco Lopes Salgado Bernardo', 'id': 5008586}];Não aplicável.;19920.0 € ;False;False;365 dias;False;Portugal;False;79952100-3;False;;;False;Aquisição de serviços;Principal;Serviços de organização de eventos culturais;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;Aquisição de serviços em regime de avença para operacionalização do gabinete de eventos;501262997;Município de Mangualde;2151;-;Manuel Francisco Lopes Salgado Bernardo;5008586;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466084&ext=.pdf
12;Ajuste Direto Regime Geral;04-03-2026;False;AD 20260399PRR - Aquisição de Sistema para teste de integridade sónica de estacas de fundação em betão e respetivos acessórios–L27;9.280,00 €;13-02-2026;13821311;Artigo 24.º, n.º 1, alínea a) do Código dos Contratos Públicos;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[];Não aplicável.;9280.0 € ;False;False;14 dias;False;Portugal, Lisboa, Loures;False;38000000-5;False;Artigo 95.º, n.º 1, a), contrato de locação ou de aquisição de bens móveis ou de aquisição de serviços cujo preço contratual não excede 10.000,00 € e para Região Autónoma da Madeira um coeficiente de 1,45 €;;True;Aquisição de bens móveis;Principal;Equipamento laboratorial, óptico e de precisão (exc. óculos);;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );AD 20260399PRR - Aquisição de Sistema para teste de integridade sónica de estacas de fundação em betão e respetivos acessórios–L27;503716391;CICCOPN - Centro de Formação Profissional da Indústria da Construção Civil e Obras Públicas;4965;500216428;PERTA - SOC. EQUIPAMENTOS CONSTRUÇÃO CIVIL, LDA;14028;
13;Ajuste Direto Regime Geral;04-03-2026;False;serviços de software (migração Microsoft Dynamics Nav para Dynamics 365 BC;19.980,00 €;04-03-2026;13821242;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos;False;;;;Não aplicável.;[{'description': 'base.55.2025.pdf', 'id': 2466083}];[];;;;;False;Não aplicável;-1;[];Não aplicável.;19980.0 € ;False;False;183 dias;False;Portugal;False;72000000-5;False;;;False;Aquisição de serviços;Principal;Serviços de TI: consultoria, desenvolvimento de software, Internet e apoio;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );serviços de software (migração Microsoft Dynamics Nav para Dynamics 365 BC;502840579;Ordem dos Médicos Dentistas;33820;507982045;CPCIT4ALL – Companhia Portuguesa de Computadores, Inovação Tecnológica, LDA.;722976;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466083&ext=.pdf
14;Ao abrigo de acordo-quadro (art.º 259.º);04-03-2026;False;Procedimento agregado ao abrigo dos lotes 1 e 2 do acordo quadro para o fornecimento de combustíveis rodoviários em Portugal Continental;73.869,28 €;21-01-2026;13821196;Artigo 259.º do Código dos Contratos Públicos;False;;;;Acordo quadro de fornecimento de combustíveis rodoviários em Portugal Continental;[{'description': '064 - Contrato  expurgado.pdf', 'id': 2466082}];[];;;;https://plataforma-sncp.espap.gov.pt/espap/faces/app/acessoDocs.jsp?codigoAcesso=jkyTV7ZoqC15rHPyeM2UEPfcF2QaVSW3HZgvTdhX1yltooX09Z;False;Não aplicável;-1;[{'nif': '500194670', 'description': 'BP PORTUGAL - Comércio de Combustíveis e Lubrificantes, S. A.', 'id': 125}, {'nif': '980622212', 'description': 'B2 MOBILITY, GMBH', 'id': 4127030}, {'nif': '500697370', 'description': ' Petrogal, S.A.', 'id': 583}, {'nif': '500246963', 'description': 'REPSOL PORTUGUESA, LDA', 'id': 57}];6214791;73869.28 € ;False;False;365 dias;False;Portugal, Portugal Continental;True;09000000-3;False;;;False;Aquisição de bens móveis;Principal;Produtos petrolíferos, combustíveis, electricidade e outras fontes de energia;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );Procedimento agregado ao abrigo dos lotes 1 e 2 do acordo quadro para o fornecimento de combustíveis rodoviários em Portugal Continental;600083349;Autoridade para as Condições do Trabalho;23391;500697370;PETROGAL, S.A.;583;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466082&ext=.pdf
15;Concurso público;04-03-2026;False;Aluguer Operacional de Veículos Automóveis de Passageiros;40.705,44 €;16-04-2024;13821190;Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos;False;;;;Não aplicável.;[{'description': 'Lote 4 - Contrato Locarent - PUB_Ocultado.pdf', 'id': 2466081}];[];;;;https://community.vortal.biz/Public/public-tender-documents/dVVac2g0NlFPTFJtUllkTUxnVFkydHZta2R4Rzh5MEtSVS91Q0pkK3ZMZlFGbWRKNmJiOEQwYXlHTnJmMWsxbnJBUTk4R3JWcUhUN2toZmdSTW4wUEE9PSp3bHNn;False;Não aplicável;365694;[{'nif': '502443880', 'description': 'LOCARENT - COMPANHIA PORTUGUESA DE ALUGUER DE VIATURAS, S.A.', 'id': 8789}, {'nif': '502167610', 'description': 'Leaseplan Portugal, Lda.', 'id': 9859}, {'nif': '503188620', 'description': 'SGALA', 'id': 26397}, {'nif': '502584866', 'description': 'Kinto Portugal, S.A.', 'id': 21944}];Não aplicável.;40705.44 € ;False;False;1461 dias;False;Portugal, Lisboa, Lisboa;False;34110000-1;False;;;False;Locação de bens móveis;Principal;Automóveis de passageiros;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;Aluguer Operacional de Veículos Automóveis de Passageiros;504288806;Autoridade Nacional da Aviação Civil;2226;502443880;LOCARENT - COMPANHIA PORTUGUESA DE ALUGUER DE VIATURAS, S.A.;8789;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466081&ext=.pdf
16;Contratação excluída II;04-03-2026;False;"DL60/01/2026 - aquisição de bens de reatores CSTR - finalidade a realização ensaios de digestão anaeróbia em regime contínuo, permitindo avaliar parâmetros como as cargas orgânicas aplicadas, os tempos de retenção hidráulica e sólida, a estabilidade do processo ao longo do tempo, fenómenos de inibição e desempenho sob variadas condições, fornecendo dados fundamentais para a otimização, o dimensionamento e a modelação de sistemas reais de digestão anaeróbia. Assim, a sua aquisição é indispensável para aprofundar o conhecimento sobre o comportamento dos substratos em operação contínua e assegurar uma transição mais precisa e segura dos resultados laboratoriais para aplicações em escala piloto ou real. A aquisição de um mínimo de quatro reatores justifica-se por permitir maior capacidade experimental, assegurando replicação estatística e testes paralelos sob diferentes condições operatórias, sem comprometer a comparabilidade dos resultados ou exigindo a repetição de ensaios. Esta configuração otimiza o tempo de operação, traduzindo-se em menor custo global para o cliente, tornando as prestações de serviços mais atrativas e passíveis de aceitação, o que viabiliza a recuperação do investimento a curto/médio prazo. Devido a limitações orçamentais, procedeu-se numa primeira fase à aquisição de 2 CSTR e do sistema de monitorização erecomenda-se agora proceder à segunda fase, com a aquisição de mais dois CSTR.
";53.895,45 €;03-02-2026;13821137;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[{'description': 'Contrato_Mod.DL60-032026_CSTR_ENG_v2_signed_signed_PUBLICAVEL.pdf', 'id': 2466080}];[];;;;;False;Não aplicável;-1;[{'nif': 'DE140212144', 'description': 'UMWELT- UND INGENIEURTECHNIK GMBH', 'id': 4743340}];Não aplicável.;53895.45 € ;False;False;55 dias;False;Portugal, Porto, Matosinhos;False;38000000-5;True;;;False;Aquisição de bens móveis;Principal;Equipamento laboratorial, óptico e de precisão (exc. óculos);;;True;;Decreto-Lei n.º 60/2018, de 03.08;DL60/01/2026 - aquisição de bens de reatores CSTR;515316881;Associação BIOREF - Laboratório Colaborativo para as Biorrefinarias;4829199;DE140212144;UMWELT- UND INGENIEURTECHNIK GMBH;4743340;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466080&ext=.pdf
17;Ao abrigo de acordo-quadro (art.º 259.º);04-03-2026;False;41/361/2026 Diversos medicamentos de corretivos da volémia;166.539,19 €;22-01-2026;13821095;Artigo 259.º do Código dos Contratos Públicos;False;;;;1439/2025 - Acordo quadro de corretivos da volémia, soluções para conservação de órgãos, hemodiálise, hemofiltração e outras soluções estéreis;[];[];;;;https://community.vortal.biz/Public/public-tender-documents/blpEN045UGRnTzRUVy9QaW9ycTZ6TGFRazNQQzZveHhTS1VJcHZ0VFpWSSt6VW4xY25oYzhVVnJiby9UTjF2MGJnUG8rZGxmMnFvMmVVSk5MY2lwSnc9PWZ2d0FG;False;Não aplicável;-1;[];7523781;166539.19 € ;False;False;365 dias;False;Portugal, Faro, Faro;False;33600000-6;False;Artigo 95.º, n.º 1, b), locação ou de aquisição de bens móveis ou aquisição de serviços ao abrigo de um contrato público de aprovisionamento;;False;Aquisição de bens móveis;Principal;Produtos farmacêuticos;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;Diversos medicamentos de corretivos da volémia;510745997;Unidade Local de Saúde do Algarve, E.P.E;450005;504293753;Fresenius Kabi Pharma Portugal, Lda.;1114;
18;Consulta Prévia;04-03-2026;False;PRESTAÇÃO DE SERVIÇOS NO ÂMBITO DO DESENVOLVIMENTO DO CENTRO DE FORMAÇÃO ARTÍSTICA 2026;4.000,00 €;02-03-2026;13821075;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos;False;;;;Não aplicável.;[{'description': 'Contrato_L11_RGPD.pdf', 'id': 2466079}];[];;;;;False;Não aplicável;-1;[{'nif': '-', 'description': 'Ricardo Manuel Pinheiro Almeida', 'id': 4193929}, {'nif': '-', 'description': 'José Maria Dutra da Silva', 'id': 3182982}, {'nif': '-', 'description': 'Miguel Albuquerque Reis Almeida', 'id': 5328694}, {'nif': '-', 'description': 'Filipe António Dias Lemos', 'id': 5553993}, {'nif': '-', 'description': 'André Baptista Medeiros', 'id': 3644339}, {'nif': '-', 'description': 'Helena Maria de Castro Ferreira', 'id': 4941537}, {'nif': '-', 'description': 'Maria João Matos Saldanha Albuquerque', 'id': 3644271}, {'nif': '-', 'description': 'Maria Margarida Henriques Malaquias', 'id': 3929342}, {'nif': '-', 'description': 'Duarte Luís Dutra', 'id': 3182953}, {'nif': '-', 'description': 'Ana Filipa Goulart da Terra', 'id': 5553994}, {'nif': '-', 'description': 'Filipe Baptista Medeiros', 'id': 5116172}];Não aplicável.;4000.0 € ;False;False;305 dias;False;Portugal, Região Autónoma dos Açores, Madalena;False;80000000-4;False;;;False;Aquisição de serviços;Principal;Serviços de ensino e formação;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );PRESTAÇÃO DE SERVIÇOS NO ÂMBITO DO DESENVOLVIMENTO DO CENTRO DE FORMAÇÃO ARTÍSTICA 2026;512070946;Município da Madalena;18305;-;Helena Maria de Castro Ferreira;4941537;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466079&ext=.pdf
19;Ajuste Direto Regime Geral;04-03-2026;False;92/1011/2026 Aquisição de Material de Consumo Clínico;22.000,40 €;03-02-2026;13821016;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[];Não aplicável.;22000.4 € ;False;False;119 dias;False;Portugal, Faro;False;33140000-3;False;Artigo 95.º, n.º 2, c), por motivos de urgência imperiosa resultante de acontecimentos imprevisíveis pela entidade, é necessário dar imediata execução ao contrato;;True;Aquisição de bens móveis;Principal;Material médico de consumo;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );92/1011/2026 Aquisição de Material de Consumo Clínico;510745997;Unidade Local de Saúde do Algarve, EPE;450005;500013810;Albino Dias de Andrade SA;18599;
20;Ajuste Direto Regime Geral;04-03-2026;False;Ajuste Direto nº21/2025 aquisição de 3 obras em leilão ;6.348,40 €;14-11-2025;13820932;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[];Não aplicável.;6348.4 € ;False;False;183 dias;False;Portugal, Lisboa, Cascais;False;37000000-8;False;Artigo 95.º, n.º 1, a), contrato de locação ou de aquisição de bens móveis ou de aquisição de serviços cujo preço contratual não excede 10.000,00 € e para Região Autónoma da Madeira um coeficiente de 1,45 €;;False;Aquisição de bens móveis;Principal;Instrumentos musicais, artigos de desporto, jogos, brinquedos, material para artesanato e actividades artísticas e acessórios - De objectos artísticos;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );Ajuste Direto nº21/2025 aquisição de 3 obras em leilão ;503777234;Fundação D. Luís I, FP;31875;509808115;PERIHASTA UNIPESSOAL, LDA;1209959;
