;contractingProcedureType;publicationDate;ccp;objectBriefDescription;initialContractualPrice;signingDate;id;contractFundamentationType;increments;closeDate;causesDeadlineChange;causesPriceChange;frameworkAgreementProcedureDescription;documents;invitees;observations;totalEffectivePrice;endOfContractType;contractingProcedureUrl;ambientCriteria;directAwardFundamentationType;announcementId;contestants;frameworkAgreementProcedureId;cpvsValue;cocontratantes;aquisitionStateMemberUE;executionDeadline;contractTypeCS;executionPlace;centralizedProcedure;cpvs;income;nonWrittenContractJustificationTypes;contractStatus;materialCriteria;contractTypes;cpvsType;cpvsDesignation;infoAquisitionStateMemberUE;groupMembers;normal;specialMeasures;regime;description;contractingNif;contractingDescription;contractingId;contractedNif;contractedDescription;contractedId;links_documentos
10;Contratação excluída II;04-03-2026;False;23N05967 - Aquisição de reactor de emulsificação para laboratório científico;39.961,85 €;22-11-2023;13824199;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': 'DE142205182', 'description': 'IKA-Werke GmbH & CO. KG', 'id': 5039215}];Não aplicável.;39961.85 € ;False;False;20 dias;False;Portugal, Coimbra, Coimbra;False;38540000-2;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de bens móveis;Principal;Máquinas e aparelhos para ensaios e medição;;;True;;Decreto-Lei n.º 60/2018, de 03.08;23N05967 - Aquisição de reactor de emulsificação para laboratório científico;501617582;Universidade de Coimbra;147;DE142205182;IKA-Werke GmbH & CO. KG;5039215;
11;Contratação excluída II;04-03-2026;False;24N02608 - Aquisição de sistema de separação por Membranas para laboratório científico;22.789,15 €;26-06-2024;13824198;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': '501866000', 'description': 'ORM - Tecnologia e Ciência na Indústria, Lda.', 'id': 3800}];Não aplicável.;22789.15 € ;False;False;60 dias;False;Portugal, Coimbra, Coimbra;False;38425000-0;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de bens móveis;Principal;Equipamento para mecânica dos fluidos;;;True;;Decreto-Lei n.º 60/2018, de 03.08;24N02608 - Aquisição de sistema de separação por Membranas para laboratório científico;501617582;Universidade de Coimbra;147;501866000;ORM - Tecnologia e Ciência na Indústria, Lda.;3800;
12;Concurso público;04-03-2026;False;Aquisição, por lotes, de equipamentos de informática, robótica, domótica, soldadura, corte, medição e ensaios e ferramentas para equipar o Centro Tecnológico Especializado na área Industrial;6.140,00 €;03-03-2026;13824197;Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos;False;;;;Não aplicável.;[];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAxMDQ4OQ;True;Não aplicável;432918;[{'nif': '503055697', 'description': 'Sanitop - Sistemas Sanitários e Climatização', 'id': 19073}, {'nif': '517105659', 'description': 'VNETO - SOLUÇÕES LDA', 'id': 4614334}, {'nif': '501336842', 'description': 'UNISOLDA - COMÉRCIO E INDÚSTRIA, S.A.', 'id': 96620}, {'nif': '516841459', 'description': 'SERCARGO UNIP LDA', 'id': 4607575}, {'nif': '506185966', 'description': 'Novo Atalho Lda', 'id': 907}, {'nif': '507055160', 'description': 'Optima-Fabrico de Máquinas para Corte e Gravação, Lda', 'id': 438392}, {'nif': '501142070', 'description': 'SONEPAR PORTUGAL, S.A.', 'id': 9259}, {'nif': '505993058', 'description': 'ROBERT MAUSER, LDA.', 'id': 168567}];Não aplicável.;6140.0 € ;False;False;28 dias;False;Portugal, Lisboa, Vila Franca de Xira;False;30200000-1;False;Artigo 95.º, n.º 1, a), contrato de locação ou de aquisição de bens móveis ou de aquisição de serviços cujo preço contratual não excede 10.000,00 € e para Região Autónoma da Madeira um coeficiente de 1,45 €;;False;Aquisição de bens móveis;Principal;Equipamento e material informático;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;Aquisição, por lotes, de equipamentos de informática, robótica, domótica, soldadura, corte, medição e ensaios e ferramentas para equipar o Centro Tecnológico Especializado na área Industrial;600020118;Escola Secundária Gago Coutinho, Alverca do Ribatejo - Vila Franca de Xira;398342;517105659;VNETO - Soluções, Lda;4614334;
13;Contratação excluída II;04-03-2026;False;23N04768 - Aquisição de centrífuga de chão refrigerada para laboratório científico;30.048,51 €;12-11-2023;13824195;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': 'ESB82228925', 'description': 'CALTECNICA INGENIEROS, S.L.', 'id': 3396629}];Não aplicável.;30048.51 € ;False;False;42 dias;False;Portugal, Coimbra, Coimbra;False;42931000-1;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de bens móveis;Principal;Centrifugadores;;;True;;Decreto-Lei n.º 60/2018, de 03.08;23N04768 - Aquisição de centrífuga de chão refrigerada para laboratório científico;501617582;Universidade de Coimbra;147;ESB82228925;CALTECNICA INGENIEROS, S.L.;3396629;
14;Contratação excluída II;04-03-2026;False;23N04762 - Aquisição de sonda de ultrassons e controlador para laboratório científico;40.570,80 €;11-11-2023;13824194;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': '509880509', 'description': 'NORLEQ – Equipamentos e Serviços, Lda', 'id': 324595}];Não aplicável.;40570.8 € ;False;False;30 dias;False;Portugal, Coimbra, Coimbra;False;38436710-0;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de bens móveis;Principal;Sondas para desintegradores ultrassónicos;;;True;;Decreto-Lei n.º 60/2018, de 03.08;23N04762 - Aquisição de sonda de ultrassons e controlador para laboratório científico;501617582;Universidade de Coimbra;147;509880509;NORLEQ – Equipamentos e Serviços, Lda;324595;
15;Contratação excluída II;04-03-2026;False;"25N05703 - Aquisição de Drossofila necessária para trabalhos de investigação desenvolvidos no projeto IT0138.E.C - Alessio Vagnoni lab.
No âmbito do workpackage de investigação científica do MIA-Portugal (WP2).";54.860,00 €;20-11-2025;13824193;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': 'N9H6TKMSFEY6', 'description': 'BestGene Inc', 'id': 5555508}];Não aplicável.;54860.0 € ;False;False;10 dias;False;Portugal, Coimbra, Coimbra;False;33696500-0;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de bens móveis;Principal;Reagentes de laboratório;;;True;;Decreto-Lei n.º 60/2018, de 03.08;25N05703 - Aquisição de Drossofila necessária para trabalhos de investigação;501617582;Universidade de Coimbra;147;N9H6TKMSFEY6;BestGene Inc;5555508;
16;Contratação excluída II;04-03-2026;False;"23N00779 - Aquisição de máquina de marcação de provetes de tração para o DEC.
O equipamento a adquirir é imprescindível para a continuidade de tarefas de investigação na área de Mecânica Estrutural, no âmbito da UI0238 - UIDP/04029/2020 - ISISE, e insere-se nas atividades previstas  da realização de ensaios de estruturas metálica e ligantes.
";9.867,00 €;15-02-2023;13824192;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': 'CHE-106.927.278', 'description': 'Walter + Bai AG', 'id': 5467665}];Não aplicável.;9867.0 € ;False;False;83 dias;False;Portugal, Coimbra, Coimbra;False;31212200-7;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de bens móveis;Principal;Aparelhos para ensaio de circuitos;;;True;;Decreto-Lei n.º 60/2018, de 03.08;"23N00779 - Aquisição de máquina de marcação de provetes de tração para o DEC.
O equipamento a adquirir é imprescindível para a continuidade de tarefas de investigação na área de Mecânica Estrutural, no âmbito da UI0238 - UIDP/04029/2020 - ISISE, e insere-se nas atividades previstas  da realização de ensaios de estruturas metálica e ligantes.
";501617582;Universidade de Coimbra;147;CHE-106.927.278;Walter + Bai AG;5467665;
17;Ao abrigo de acordo-quadro (art.º 259.º);04-03-2026;False;Aquisição de Lancetas, para o ano 2026;13.392,00 €;02-03-2026;13824191;Artigo 259.º do Código dos Contratos Públicos;False;;;;Acordo-quadro para fornecimento de seringas e agulhas, na área da saúde;[];[];;;;https://community.vortal.biz/Public/public-tender-documents/bkxMV2RaYUtnQjl2eFpMaitHUzFXYTJEQkJoVVZhTDQvdERIUzVlZS9RbCtKdXpoZDdrd0xGZUZlQzEzem5jRExpL2xLelEvSmFDWDhBR243QXJXWWc9PXYzZ3c4;False;Não aplicável;-1;[];7124514;13392.0 € ;False;False;337 dias;False;Portugal, Lisboa, Lisboa;False;33100000-1;False;Artigo 95.º, n.º 1, b), locação ou de aquisição de bens móveis ou aquisição de serviços ao abrigo de um contrato público de aprovisionamento;;False;Aquisição de bens móveis;Principal;Equipamento médico;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;262Y000008 - Aquisição de Lancetas, para o ano 2026;508481287;Unidade Local de Saúde de Santa Maria, E. P. E.;50317;509211216;TEXPOL - TÊXTIL PLANAS OLIV. PORT. UNIP., LDA.;160124;
18;Ajuste Direto Regime Geral;04-03-2026;False;Aquisição de Serviços de Manutenção Preventiva Aos Sistemas de Segurança do Complexo;20.734,00 €;04-03-2026;13824190;Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos;False;;;;Não aplicável.;[{'description': 'Contrato N.º SCGC_ICBAS_C00004_2026_RGPD.pdf', 'id': 2466119}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA1NDI3NQ;False;ausência de recursos próprios;-1;[{'nif': '500247480', 'description': 'Siemens, S.A.', 'id': 98}];Não aplicável.;20734.0 € ;False;False;318 dias;False;Portugal;False;50710000-5;False;;;False;Aquisição de serviços;Principal;Serviços de reparação e manutenção de equipamento eléctrico e mecânico em edifícios;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;Aquisição de Serviços de Manutenção Preventiva Aos Sistemas de Segurança do Complexo;501413197;Universidade do Porto;3250;500247480;Siemens, S.A.;98;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466119&ext=.pdf
19;Concurso público;04-03-2026;False;Empreitada de Conceção e Construção para a Requalificação do Sistema de AVAC do Bloco Operatório do Hospital Santa Luzia de Elvas da Unidade Local de Saúde do Alto Alentejo, EPE;1.099.876,17 €;27-02-2026;13824189;Artigo 19.º, alínea b) do Código dos Contratos Públicos;False;;;;Não aplicável.;[{'description': 'Contrato n.º 80_2026_Base.pdf', 'id': 2466118}];[];;;;https://community.vortal.biz/Public/public-tender-documents/b2RaOEZJanZBRVI3YWR1MEkvWkpOZFhITWJ0NEF3c0ZZL2RsM0l2cEVRMlAwRklqNGJsYm5wdklUU0pkOE1LWktZVDIwa2ltL2cxV0JyeWFvVUkzTEE9PVkrRUpW;True;Não aplicável;412318;[];Não aplicável.;1099876.17 € ;False;False;150 dias;False;Portugal, Portalegre, Elvas;False;45000000-7;False;;;False;Empreitadas de obras públicas;Principal;Construção;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;Empreitada de Conceção e Construção para a Requalificação do Sistema de AVAC do Bloco Operatório do Hospital Santa Luzia de Elvas da Unidade Local de Saúde do Alto Alentejo, EPE;508094461;Unidade Local de Saúde do Alto Alentejo, EPE;23648;503653209;Politermica - Engenharia , Lda;31290;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466118&ext=.pdf
20;Concurso público;04-03-2026;False;Aquisição de Detetores Portáteis de Gases com Conexão a Plataforma de Gestão dos Equipamentos e de Serviços de Manutenção Preventiva e Corretiva;249.980,00 €;04-03-2026;13824187;Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos;False;;;;Não aplicável.;[{'description': 'Contrato 032_AdTA_2026_BASE.pdf', 'id': 2466117}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTk3NDUy;False;Não aplicável;429973;[{'nif': '501745068', 'description': 'VIANAS, SA', 'id': 1630}, {'nif': '500663300', 'description': 'TECNIQUITEL - SOCIEDADE DE EQUIPAMENTOS TÉCNICOS, LDA', 'id': 1297}];Não aplicável.;211000.0 €  | 38980.0 € ;False;False;1096 dias;False;Portugal, Lisboa<BR/>Portugal, Santarém, Rio Maior<BR/>Portugal, Leiria;False;35100000-5 | 50413100-4;False;;;False;Aquisição de serviços<br/>Aquisição de bens móveis;Principal | Suplementar;Equipamento de emergência e de segurança | Serviços de reparação e manutenção de equipamento para detecção de gás;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;Aquisição de Detetores Portáteis de Gases com Conexão a Plataforma de Gestão dos Equipamentos e de Serviços de Manutenção Preventiva e Corretiva;514387130;Águas do Tejo Atlântico, SA;1846034;501745068;VIANAS, S.A.;1630;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466117&ext=.pdf
21;Ajuste Direto Regime Geral;04-03-2026;False;Aquisição de Licenciamento Adobe;9.469,20 €;03-02-2026;13824186;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos;False;;;;Não aplicável.;[{'description': 'Contrato Censurado.pdf', 'id': 2466116}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA0ODE5Nw;False;ausência de recursos próprios;-1;[{'nif': '505248948', 'description': 'NLS NEW LINK SOLUTIONS - CONSULTORIA E ENGENHARIA, S.A.', 'id': 10426}];Não aplicável.;9469.2 € ;False;False;365 dias;False;Portugal;False;48300000-1;True;;;False;Aquisição de bens móveis;Principal;Pacote de software para criação de documentos, desenho, imagens, gestão de tarefas e produtividade;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );Aquisição de Licenciamento Adobe;502110660;Universidade Aberta;15190;505248948;NLS - New Link Solutions - Consultoria e Engenharia, SA;10426;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466116&ext=.pdf
22;Contratação excluída II;04-03-2026;False;23N02102 - Aquisição de reactor piloto necessário para execução do projeto das resinas politerpénicas.;54.960,00 €;05-05-2023;13824185;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': '500948208', 'description': 'ILC Instrumentos de Laboratório e Científicos Lda', 'id': 13800}];Não aplicável.;54960.0 € ;False;False;98 dias;False;Portugal, Coimbra, Coimbra;False;38436230-1;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de bens móveis;Principal;Regulador de pressão para evaporadores rotativos;;;True;;Decreto-Lei n.º 60/2018, de 03.08;23N02102 - Aquisição de reactor piloto necessário para execução do projeto das resinas politerpénicas.;501617582;Universidade de Coimbra;147;500948208;ILC Instrumentos de Laboratório e Científicos Lda;13800;
23;Contratação excluída II;04-03-2026;False;"25N06103 - Aquisição de serviços de curadoria/Design no âmbito do Projeto ""25 de Abril em 3D"", no Centro de Documentação 25 de Abril.";9.900,00 €;18-12-2025;13824183;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': '-', 'description': 'PIERRE GERMAIN ANDRE MARIE', 'id': 5132094}];Não aplicável.;9900.0 € ;False;False;44 dias;False;Portugal, Coimbra, Coimbra;False;79822500-7;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de serviços;Principal;Serviços de concepção gráfica;;;True;;Decreto-Lei n.º 60/2018, de 03.08;"25N06103 - Aquisição de serviços de curadoria/Design no âmbito do Projeto ""25 de Abril em 3D"", no Centro de Documentação 25 de Abril.";501617582;Universidade de Coimbra;147;-;PIERRE GERMAIN ANDRE MARIE;5132094;
24;Contratação excluída II;04-03-2026;False;23N05746 - Aquisição de arcas -80 e 40 racks para armazenamento de amostras biológicas obtidas no âmbito do projeto PAS GRAS.;55.800,00 €;01-12-2023;13824182;artigo 3.º n.º 1 do DLn.º 60/2018, de 03.08;False;;;;Não aplicável.;[];[];;;;;False;Não aplicável;-1;[{'nif': '503842770', 'description': 'VWR INTERNATIONAL MATERIAL DE LAB.', 'id': 716}];Não aplicável.;55800.0 € ;False;False;5 dias;False;Portugal, Coimbra, Coimbra;False;39711121-3;False;Artigo 5.º - Contratação excluída “geral”;;False;Aquisição de bens móveis;Principal;Arcas frigoríficas;;;True;;Decreto-Lei n.º 60/2018, de 03.08;23N05746 - Aquisição de arcas -80 e 40 racks para armazenamento de amostras biológicas obtidas no âmbito do projeto PAS GRAS.;501617582;Universidade de Coimbra;147;503842770;VWR INTERNATIONAL MATERIAL DE LAB.;716;
