;contractingProcedureType;publicationDate;ccp;objectBriefDescription;initialContractualPrice;signingDate;id;contractFundamentationType;closeDate;causesDeadlineChange;causesPriceChange;frameworkAgreementProcedureId;frameworkAgreementProcedureDescription;increments;documents;invitees;observations;totalEffectivePrice;endOfContractType;contractingProcedureUrl;ambientCriteria;directAwardFundamentationType;announcementId;contestants;cpvsType;cpvsDesignation;cpvsValue;cocontratantes;aquisitionStateMemberUE;infoAquisitionStateMemberUE;groupMembers;normal;specialMeasures;regime;executionDeadline;contractTypeCS;executionPlace;centralizedProcedure;cpvs;income;nonWrittenContractJustificationTypes;contractStatus;materialCriteria;contractTypes;description;contractingNif;contractingDescription;contractingId;contractedNif;contractedDescription;contractedId;links_documentos
71;Contratação excluída II;05-03-2026;False;Transporte de Doentes;51.559,77 €;24-02-2026;13855762;artigo 6.º-A n.º 1 do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[];[];;;;;False;Não aplicável;-1;[{'nif': '502757566', 'description': 'Ambulâncias 111-serviço De Transporte De Doentes E Sinistrados S.a.', 'id': 131827}, {'nif': '505335018', 'description': 'Município de Vila Nova de Gaia', 'id': 259}, {'nif': '502834285', 'description': 'AMBULÂNCIAS SANTA QUITÉRIA, LDA', 'id': 8217}, {'nif': '504567853', 'description': 'Ambulâncias Mirandelense, Lda', 'id': 4475557}, {'nif': '504801040', 'description': 'CARLOS PESTANA, LDA', 'id': 4537}, {'nif': '506532160', 'description': 'SALVAVIDA - TRANSPORTE DE DOENTES, LDA', 'id': 68586}, {'nif': '502606460', 'description': 'TRANSPORTES FLOR DA RIA, SA', 'id': 131826}];Principal;Serviços de ambulâncias;51559.77 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;5 dias;False;Portugal, Porto, Vila Nova de Gaia;False;85143000-3;False;Artigo 6.º-A – Contratação excluída “serviços sociais e outros serviços específicos”;;False;Aquisição de serviços;Transporte de Doentes;508142156;Unidade Local de Saúde de Gaia/Espinho, E. P. E.;83983;504801040;CARLOS PESTANA, LDA;4537;
72;Contratação excluída II;05-03-2026;False;"Aquisição de Serviços de Ação Social com Alojamento, destinados A Doentes “Não Agudos"", referenciados para estruturas residenciais para pessoas idosas (ERPI), e Serviços de Internamento de Saúde Mental no âmbito da Reabilitação Psicossocial a Utentes da Unidade Local De Saúde São José, EPE, para o ano 2025";136.875,00 €;25-03-2025;13855761;artigo 6.º-A n.º 1 do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': 'Contrato n.º 204 - Lote 3.pdf', 'id': 2466649}];[];;;;;False;Não aplicável;-1;[{'nif': '514683430', 'description': 'BYND  Senior Residences SA', 'id': 4724896}];Principal;Serviços de acção social com alojamento;136875.0 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;365 dias;False;Portugal, Lisboa, Lisboa;False;85311000-2;False;;;False;Aquisição de serviços;"Aquisição de Serviços de Ação Social com Alojamento, destinados A Doentes “Não Agudos"", referenciados para estruturas residenciais para pessoas idosas (ERPI), e Serviços de Internamento de Saúde Mental no âmbito da Reabilitação Psicossocial a Utentes da Unidade Local De Saúde São José, EPE, para o ano 2025 - Lote 3";508080142;Unidade Local de Saúde de São José, EPE;41882;514683430;BYND  Senior Residences SA;4724896;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466649&ext=.pdf
73;Ajuste Direto Regime Geral;05-03-2026;False;Empreitada para demolição e remoção de 3 casas devolutas no Município do Seixal;84.000,00 €;05-03-2026;13855753;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTA2MzIxNg;False;ausência de recursos próprios;-1;[{'nif': '504367234', 'description': 'Transaragoça Transportes Unipessoal Lda', 'id': 126508}];Principal;Demolição e destruição de edifícios e movimento de terras;84000.0 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;30 dias;False;Portugal;False;45110000-1;False;Artigo 95.º, n.º 2, c), por motivos de urgência imperiosa resultante de acontecimentos imprevisíveis pela entidade, é necessário dar imediata execução ao contrato;;False;Empreitadas de obras públicas;Empreitada para demolição e remoção de 3 casas devolutas no Município do Seixal;506173968;Município do Seixal;3230;504367234;Transaragoça Transportes Unipessoal Lda;126508;
74;Ajuste Direto Regime Geral;05-03-2026;False;Fornecimento de Petit gateau, milho frito e natas para bater para a Unidade Hoteleira da Fundação Inatel, sita em Albufeira;588,46 €;10-12-2025;13855691;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[];[];;;;;False;Não aplicável;-1;[];Principal;Produtos alimentares diversos;588.46 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;1 dias;False;Portugal, Faro, Albufeira;False;15800000-6;False;Artigo 95.º, n.º 1, a), contrato de locação ou de aquisição de bens móveis ou de aquisição de serviços cujo preço contratual não excede 10.000,00 € e para Região Autónoma da Madeira um coeficiente de 1,45 €;;True;Aquisição de bens móveis;Fornecimento de Petit gateau, milho frito e natas para bater para a Unidade Hoteleira da Fundação Inatel, sita em Albufeira;500122237;Fundação INATEL;6585;501476180;Aviludo;8942;
75;Contratação excluída II;05-03-2026;False;Transporte de Doentes;642,81 €;24-02-2026;13855686;artigo 6.º-A n.º 1 do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[];[];;;;;False;Não aplicável;-1;[{'nif': '502757566', 'description': 'Ambulâncias 111-serviço De Transporte De Doentes E Sinistrados S.a.', 'id': 131827}, {'nif': '504567853', 'description': 'Ambulâncias Mirandelense, Lda', 'id': 4475557}, {'nif': '505335018', 'description': 'Município de Vila Nova de Gaia', 'id': 259}, {'nif': '502606460', 'description': 'TRANSPORTES FLOR DA RIA, SA', 'id': 131826}, {'nif': '502834285', 'description': 'AMBULÂNCIAS SANTA QUITÉRIA, LDA', 'id': 8217}, {'nif': '504801040', 'description': 'CARLOS PESTANA, LDA', 'id': 4537}, {'nif': '506532160', 'description': 'SALVAVIDA - TRANSPORTE DE DOENTES, LDA', 'id': 68586}];Principal;Serviços de ambulâncias;642.81 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;5 dias;False;Portugal, Porto, Vila Nova de Gaia;False;85143000-3;False;Artigo 6.º-A – Contratação excluída “serviços sociais e outros serviços específicos”;;False;Aquisição de serviços;Transporte de Doentes;508142156;Unidade Local de Saúde de Gaia/Espinho, E. P. E.;83983;504567853;Ambulâncias Mirandelense, Lda;4475557;
76;Consulta Prévia;05-03-2026;False;Aquisição de Dietas Lácteas e Farinhas 2026_27_28;16.501,08 €;05-03-2026;13855663;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': '1006026 Contrato 2026_174 signed CA BG.pdf', 'id': 2466646}];[];;;;https://community.vortal.biz/Public/public-tender-documents/SjR5TVFHeGFLSVFzemIycU9KTXE4UGp6VUxHZTc4REtZSTAzQWpVUjhoeFdaNFFlUnFhUzluVnhnKzRnQUo1MkVSdnoyblB2NWdTMG5mUGVxWUVvQlE9PTdiIUA0;False;Não aplicável;-1;[{'nif': '500017387', 'description': 'ALTER, SA', 'id': 33547}, {'nif': '507558286', 'description': 'DANONE NUTRICIA UNIPESSOAL LDA', 'id': 102841}, {'nif': '504225910', 'description': 'Reckitt Benckiser Healthcare, Lda ', 'id': 471778}];Principal;Produtos farmacêuticos;16501.08 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;1096 dias;False;Portugal, Porto, Vila Nova de Gaia;False;33600000-6;False;;;False;Aquisição de bens móveis;Aquisição de Dietas Lácteas e Farinhas 2026_27_28;508142156;Unidade Local de Saúde de Gaia/Espinho, E. P. E.;83983;507558286;DANONE NUTRICIA UNIPESSOAL LDA;102841;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466646&ext=.pdf
77;Ajuste Direto Regime Geral;05-03-2026;False;AQU/2026/5 - Serviços de Interpretação Simultânea – Sessão de debate “O Futuro da Política Agrícola Comum;5.370,00 €;24-02-2026;13855633;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[];[];;;;;False;Não aplicável;-1;[];Principal;Serviços de interpretação;5370.0 € ;False;False;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );1 dias;False;Portugal, Lisboa, Lisboa;False;79540000-1;False;Artigo 95.º, n.º 1, a), contrato de locação ou de aquisição de bens móveis ou de aquisição de serviços cujo preço contratual não excede 10.000,00 € e para Região Autónoma da Madeira um coeficiente de 1,45 €;;False;Aquisição de serviços;AQU/2026/5 - Aquisição de Serviços de Interpretação Simultânea – Sessão de debate “O Futuro da Política Agrícola Comum;600082458;Gabinete de Planeamento, Políticas e Administração Geral;1937;504194739;APOIO XXI - Centro de Apoio Psico Pedagogico, Lda.;4249;
78;Contratação excluída II;05-03-2026;False;Transporte de Doentes;71.367,37 €;24-02-2026;13855625;artigo 6.º-A n.º 1 do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[];[];;;;;False;Não aplicável;-1;[{'nif': '502757566', 'description': 'Ambulâncias 111-serviço De Transporte De Doentes E Sinistrados S.a.', 'id': 131827}, {'nif': '504567853', 'description': 'Ambulâncias Mirandelense, Lda', 'id': 4475557}, {'nif': '505335018', 'description': 'Município de Vila Nova de Gaia', 'id': 259}, {'nif': '504801040', 'description': 'CARLOS PESTANA, LDA', 'id': 4537}, {'nif': '502834285', 'description': 'AMBULÂNCIAS SANTA QUITÉRIA, LDA', 'id': 8217}, {'nif': '506532160', 'description': 'SALVAVIDA - TRANSPORTE DE DOENTES, LDA', 'id': 68586}, {'nif': '502606460', 'description': 'TRANSPORTES FLOR DA RIA, SA', 'id': 131826}];Principal;Serviços de ambulâncias;71367.37 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;5 dias;False;Portugal, Porto, Vila Nova de Gaia;False;85143000-3;False;Artigo 6.º-A – Contratação excluída “serviços sociais e outros serviços específicos”;;False;Aquisição de serviços;Transporte de Doentes;508142156;Unidade Local de Saúde de Gaia/Espinho, E. P. E.;83983;502834285;AMBULÂNCIAS SANTA QUITÉRIA, LDA;8217;
79;Consulta Prévia;05-03-2026;False;Aquisição de Dietas Lácteas e Farinhas 2026_27_28;1.157,10 €;05-03-2026;13855535;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': '1006026 Contrato 2026_174 signed CA BG.pdf', 'id': 2466643}];[];;;;https://community.vortal.biz/Public/public-tender-documents/SjR5TVFHeGFLSVFzemIycU9KTXE4UGp6VUxHZTc4REtZSTAzQWpVUjhoeFdaNFFlUnFhUzluVnhnKzRnQUo1MkVSdnoyblB2NWdTMG5mUGVxWUVvQlE9PTdiIUA0;False;Não aplicável;-1;[{'nif': '507558286', 'description': 'DANONE NUTRICIA UNIPESSOAL LDA', 'id': 102841}, {'nif': '500017387', 'description': 'ALTER, SA', 'id': 33547}, {'nif': '504225910', 'description': 'Reckitt Benckiser Healthcare, Lda ', 'id': 471778}];Principal;Produtos farmacêuticos;1157.1 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;1096 dias;False;Portugal, Porto, Vila Nova de Gaia;False;33600000-6;False;;;False;Aquisição de bens móveis;Aquisição de Dietas Lácteas e Farinhas 2026_27_28;508142156;Unidade Local de Saúde de Gaia/Espinho, E. P. E.;83983;500017387;ALTER, SA;33547;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466643&ext=.pdf
80;Concurso público;05-03-2026;False;Aquisição de Medicamentos e outros materiais para o CROA de Santa Cruz;60.000,00 €;04-03-2026;13855524;Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': 'Contrato nº 8 2026_Ocultado.pdf', 'id': 2466642}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/MTAwMDQ0MA;False;Não aplicável;431075;[{'nif': '511133650', 'description': 'Mamepe, Comercio de Medicamentos e Produtos Veterinários, Lda', 'id': 533500}];Principal;Medicamentos vários;60000.0 € ;False;False;;;True;;Código dos Contratos Públicos (DL 111-B/2017) e Lei n.º 30/2021, de 21.05 e DLR nº 34/2008/M, de 14.08 (DLR n.º 6/2018/M);731 dias;False;Portugal;False;33690000-3;False;;;False;Aquisição de bens móveis;Aquisição de Medicamentos e outros materiais para o CROA de Santa Cruz;511244681;Município de Santa Cruz;9619;511133650;Mamepe, Comercio de Medicamentos e Produtos Veterinários, Lda;533500;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466642&ext=.pdf
81;Consulta Prévia;05-03-2026;False;Aquisição de serviços de manutenção da firewall da Sanjotec;9.000,00 €;02-03-2026;13855511;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': 'CP_03_2026_contrato_rasurado.pdf', 'id': 2466641}];[];;;;;False;Não aplicável;-1;[{'nif': '504163426', 'description': 'PVA  Norte, Lda.', 'id': 3160}, {'nif': '503942111', 'description': 'JANS', 'id': 95896}, {'nif': '502681276', 'description': 'Trilogia - Informática,Telecomunicações, e Serviços, Lda', 'id': 4664744}];Principal;Manutenção e reparação de equipamento informático;9000.0 € ;False;False;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );731 dias;False;Portugal, Aveiro, São João da Madeira;False;50312000-5;False;;;False;Aquisição de serviços;Aquisição de serviços de manutenção da firewall da Sanjotec;513060715;SANJOTEC - Associação Científica e Tecnológica;661016;504163426;PVA  Norte, Lda.;3160;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466641&ext=.pdf
82;Ajuste Direto Regime Geral;05-03-2026;False;Serviços para desempenho do cargo de Diretora Executiva da Associação de Farmacêuticos dos Países de Língua Portuguesa (AFPLP);15.652,24 €;26-02-2026;13855493;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': 'AD06_DN_2026 - C Dev Ass_EXPURGADO.pdf', 'id': 2466640}];[];;;;;False;Não aplicável;-1;[];Principal;Serviços de gestão de projectos, excepto projectos de construção;15652.24 € ;False;False;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );278 dias;False;Portugal, Lisboa, Lisboa;False;79421000-1;False;;;False;Aquisição de serviços;Ajuste direto para a prestação de serviços para desempenho do cargo de Diretora Executiva da Associação de Farmacêuticos dos Países de Língua Portuguesa (AFPLP);500998760;Ordem dos Farmacêuticos;50828;-;Célia Iria Alves da Silva;5558970;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466640&ext=.pdf
83;Contratação excluída II;05-03-2026;False;Serviços de formação profissional;1.300,00 €;13-02-2026;13855492;artigo 6.º-A n.º 1 do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': 'GTI YOURIT João Peixoto_Contrato Basegov.pdf', 'id': 2466639}];[];;;;;False;Não aplicável;-1;[{'nif': '-', 'description': 'João Jorge da Silva Resende Moreira Peixoto', 'id': 5074701}];Principal;Serviços de formação especializada;1300.0 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;30 dias;False;Portugal;False;80510000-2;False;;;False;Aquisição de serviços;Aquisição de serviços de formação profissional;503767441;Yourit Academy - Formação e Sistemas de Informação, Lda;3406362;-;João Jorge da Silva Resende Moreira Peixoto;5074701;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466639&ext=.pdf
84;Consulta Prévia;05-03-2026;False;AQUISIÇÃO DE SERVIÇOS PARA REPOSIÇÃO DE PAVIMENTO EM CUBO DE GRANITO E CALCÁRIO EM PASSEIOS E ARRUAMENTOS MUNICIPAIS;68.340,00 €;26-02-2026;13855419;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': 'CONTRATO N_13_2026_REABILITACAO_PASSEIO_ALBANO_GOMES_signed_signed_signed_GOV.pdf', 'id': 2466638}];[];;;; https://www.cm-valedecambra.pt/pages/728;False;Não aplicável;-1;[{'nif': '502288663', 'description': 'ASO - Construções Lda', 'id': 46680}, {'nif': '505603861', 'description': 'Albano de Pinho Gomes, Lda', 'id': 105531}];Principal;Outros serviços - Pedra;68340.0 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;365 dias;False;Portugal, Aveiro, Vale de Cambra;False;98390000-3;False;;;False;Aquisição de serviços;AQUISIÇÃO DE SERVIÇOS PARA REPOSIÇÃO DE PAVIMENTO EM CUBO DE GRANITO E CALCÁRIO EM PASSEIOS E ARRUAMENTOS MUNICIPAIS;506735524;Município de Vale de Cambra;274;505603861;Albano de Pinho Gomes, Lda;105531;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466638&ext=.pdf
85;Ajuste Direto Regime Geral;05-03-2026;False;AQUISIÇÃO DE SERVIÇOS DE HACCP e DISPONIBILIZAÇÃO DE RECARGAS PARA SABONETEIRAS.;1.328,83 €;05-03-2026;13855169;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[];[];;;;https://community.vortal.biz/Public/public-tender-documents/amZEbXdpd2hsWVc5MUo3U242a3BVZ3VDRVNNcmk5RzY4RGI4V040NGJoeHhIQi9FSk5WOTJqQzNLRzd5SDZkVDlOTkowN2o5OXZBbzV6eTlZOWhYL1E9PUUqMnAj;False;Não aplicável;-1;[];Principal;Serviços de higiene;1328.83 € ;False;False;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );300 dias;False;Portugal, Braga, Braga;False;85142300-9;False;Artigo 95.º, n.º 1, a), contrato de locação ou de aquisição de bens móveis ou de aquisição de serviços cujo preço contratual não excede 10.000,00 € e para Região Autónoma da Madeira um coeficiente de 1,45 €;;False;Aquisição de serviços;AQUISIÇÃO DE SERVIÇOS DE HACCP e DISPONIBILIZAÇÃO DE RECARGAS PARA SABONETEIRAS.;600041247;Escola Artística Cons.Música Calouste Gulbenkian;326343;501351167;Rentokil Initial Portugal - Serviços de Protecção Ambiental, Unipessoal, Lda.;2320;
86;Ao abrigo de acordo-quadro (art.º 258.º);05-03-2026;False;"PROC-SD-55/2022 - Ajuste Direto ao Abrigo de Acordo Quadro para Fornecimento de Equipamentos e Peças de Desgaste, e Prestação de Serviços de Manutenção e Reparação dos Sobrepressores da marca AERZEN
";11.182,39 €;05-03-2026;13855152;Artigo 258.º do Código dos Contratos Públicos;;;;6019186;Concurso Público para a Celebração de Acordo Quadro singular para fornecimento de equipamentos e peças de desgaste, e prestação de serviços de manutenção e reparação, dos Sobrepressores da marca AERZEN.;False;[{'description': 'CONTRATO OPTATIVO.pdf', 'id': 2466637}];[];;;;;False;Não aplicável;-1;[];Principal;Compressores;11182.39 € ;False;False;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );42 dias;False;Portugal, Porto, Penafiel;False;42123000-7;False;;;False;Aquisição de bens móveis;"PROC-SD-55/2022 - Ajuste Direto ao Abrigo de Acordo Quadro para Fornecimento de Equipamentos e Peças de Desgaste, e Prestação de Serviços de Manutenção e Reparação dos Sobrepressores da marca AERZEN
";514310103;SIMDOURO - Saneamento do Grande Porto, SA;1721630;980181313;AERZEN IBÉRICA, S.A. - SUCURSAL EM PORTUGAL;112898;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466637&ext=.pdf
87;Contratação excluída II;05-03-2026;False;Prestação de Gestão de Serviços de Transporte e Armazenamento à Unidade Local de Saúde do Oeste, E.P.E.;202.968,84 €;15-01-2026;13855151;artigo 5.º n.º 1 do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': '3791_01_2026_Prot Transp_Armaz_e_Logistica ULSO Expurgado.pdf', 'id': 2466636}];[];;;;;False;Não aplicável;-1;[{'nif': '500900469', 'description': 'SUCH | Serviço de Utilização Comum dos Hospitais', 'id': 3469}];Principal;Serviços de armazenagem e depósito;202968.84 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;350 dias;False;Portugal, Leiria, Caldas da Rainha;False;63120000-6;False;;;False;Aquisição de serviços;Prestação de Gestão de Serviços de Transporte e Armazenamento à Unidade Local de Saúde do Oeste, E.P.E.;514993871;Unidade Local de Saúde do Oeste, EPE;2934321;500900469;SUCH | Serviço de Utilização Comum dos Hospitais;3469;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466636&ext=.pdf
88;Concurso público;05-03-2026;False;Cateteres balão sem fármaco;143.750,00 €;05-03-2026;13855150;Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': '262A000026 - Contrato Cordis Lotes 3 e 10 BaseGov.pdf', 'id': 2466635}];[];;;;https://community.vortal.biz/Public/public-tender-documents/L2dTYzlNWEM3NzJadHBwdzhyN1VMVzhQcUUrSkpqa1IyTmRQNzRhd1U0blhINW5ndjJkN1p4ZlhMalcyckp3bzRVZlpDQ1hyeVZQbVROTXpKYmdWeEE9PXRVVWVV;False;Não aplicável;433415;[{'nif': '504988964', 'description': 'Boston Scientific Portugal, Dispositivos Médicos, Lda.', 'id': 18802}, {'nif': '513620834', 'description': 'Cordis Portugal, Unipessoal, Lda.', 'id': 876515}, {'nif': '980472024', 'description': 'TERUMO EUROPE ESPAÑA', 'id': 317229}, {'nif': '504180746', 'description': 'ABBOTT MEDICAL PORTUGAL, Lda.', 'id': 23104}, {'nif': '504453939', 'description': 'SOCIME II - Produtos Medicos Lda', 'id': 20176}, {'nif': '501506543', 'description': 'B.Braun Medical, Unipessoal Lda.', 'id': 1096}, {'nif': '504223933', 'description': 'MEDTRONIC PORTUGAL, UNIPESSOAL, LDA.', 'id': 10095}, {'nif': '517566591', 'description': 'HEART & VASCULAR SOLUTIONS, UNIPESSOAL LDA', 'id': 4830184}];Principal;Cateteres de balão;143750.0 € ;False;False;;;True;;Código dos Contratos Públicos (DL111-B/2017) e Lei n.º 30/2021, de 21.05;301 dias;False;Portugal, Lisboa, Lisboa;False;33141210-5;False;;;False;Aquisição de bens móveis;262A000026 - Aquisição de Cateteres balão sem fármaco para o Serviço de Cardiologia, durante o ano de 2026;508481287;Unidade Local de Saúde de Santa Maria, EPE;50317;513620834;Cordis Portugal, Unipessoal, Lda.;876515;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466635&ext=.pdf
89;Ajuste Direto Regime Geral;05-03-2026;False;Requalificação da casa de banho da sede da Junta de Freguesia de Tendais e o fornecimento e colocação de um elevador vertical;14.828,04 €;31-10-2025;13854994;Artigo 19.º, alínea d) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': 'Contrato_Tendais_empreitada_.pdf', 'id': 2466634}];[];;;;;False;Não aplicável;-1;[];Principal;Construção;14828.04 € ;False;False;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );89 dias;False;Portugal, Viseu, Cinfães;False;45000000-7;False;;;False;Empreitadas de obras públicas;Requalificação da casa de banho da sede da Junta de Freguesia de Tendais e o fornecimento e colocação de um elevador vertical;506956903;Freguesia de Tendais;436939;508615062;Mário João Resende Unipessoal Lda;253457;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466634&ext=.pdf
90;Consulta Prévia;05-03-2026;False;AQUISIÇÃO DE PRODUTOS ALIMENTARES PARA O BUFETE – ANO 2026.;12.878,00 €;05-03-2026;13854990;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos;;;;Não aplicável.;Não aplicável.;False;[{'description': 'Contrato_Trinas Lote 3_maximinos_base.pdf', 'id': 2466633}];[];;;;https://community.vortal.biz/Public/public-tender-documents/Um1ERXQ5OW1qT0hmOUtWZTkydEJSSGZKS1BMMk1BcExQVjBBTXRxbjErZGEzYXJUTS91NkxoT2J4dWs3aHRTWnpYSTNiTWZqSFhiZnJhUGtoejBva2c9PTVCQFM4;False;Não aplicável;-1;[];Principal;Produtos alimentares diversos;12878.0 € ;False;False;;;True;;Código dos Contratos Públicos ( DL 111-B/2017 );336 dias;False;Portugal, Braga, Braga;False;15800000-6;False;;;False;Aquisição de bens móveis;AQUISIÇÃO DE PRODUTOS ALIMENTARES PARA O BUFETE – ANO 2026.;600084256;Agrupamento de Escolas de Maximinos, Braga;233601;500209634;Padaria Trinas, Lda.;133029;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466633&ext=.pdf
91;Concurso público;05-03-2026;False;AQUISIÇÃO DE SISTEMA DE LASER CO2 PARA O SERVIÇO DE OTORRINOLARINGOLOGIA NO ÂMBITO DO PLANO DE RECUPERAÇÃO E RESILIÊNCIA, COMPONENTE 1, INVESTIMENTO RE-C01-I11-RAA - MODERNIZAÇÃO E REQUALIFICAÇÃO DO SERVIÇO REGIONAL DE SAÚDE - PARA O HOSPITAL DIVINO ESPÍRITO SANTO DE PONTA DELGADA, EPER.;97.860,00 €;04-03-2026;13854939;Artigo 20.º, alínea b) do Decreto Legislativo Regional n.º 27/2015/A, de 29.12;;;;Não aplicável.;Não aplicável.;False;[{'description': 'Contrato 13007725 Expurgado.pdf', 'id': 2466632}];[];;;;https://www.acingov.pt/acingovprod/2/zonaPublica/zona_publica_c/donwloadProcedurePiece/OTk5ODg0;False;Não aplicável;430126;[{'nif': '510222587', 'description': 'Effer Saúde Lda.', 'id': 442783}, {'nif': '506708616', 'description': 'FILSAT Equipamentos Médico-Científicos, Lda. ', 'id': 44749}, {'nif': '517539675', 'description': 'Moleculalinhada Lda', 'id': 5050034}, {'nif': '500684324', 'description': 'Medicinalia Cormedica - Com. Prod. Medicos Hospitalares Lda.', 'id': 2542}];Principal;Equipamento médico;97860.0 € ;False;False;;;True;;DLR n.º 27/2015/A, de 29.12;3653 dias;False;Portugal, Região Autónoma dos Açores, Ponta Delgada;False;33100000-1;False;;;False;Aquisição de bens móveis;AQUISIÇÃO DE SISTEMA DE LASER CO2 PARA O SERVIÇO DE OTORRINOLARINGOLOGIA NO ÂMBITO DO PLANO DE RECUPERAÇÃO E RESILIÊNCIA, COMPONENTE 1, INVESTIMENTO RE-C01-I11-RAA ? MODERNIZAÇÃO E REQUALIFICAÇÃO DO SERVIÇO REGIONAL DE SAÚDE - PARA O HOSPITAL DIVINO ESPÍRITO SANTO DE PONTA DELGADA, EPER..;512103097;Hospital do Divino Espírito Santo de Ponta Delgada, EPER;93142;506708616;FILSAT Equipamentos Médico-Científicos, Lda. ;44749;https://www.base.gov.pt/Base4/pt/resultados/?type=doc_documentos&id=2466632&ext=.pdf
